id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,-0.3,10.6,-9.1,19.7,1278,476,7.6,22.2,1396,543,6655,4,124,170,249,78,764,-38.9,28,318,0,12.3,71
3960088,BAFAunp,52.4887,-125.932098,1785,1.8,12,-7.8,19.8,1658,357,7.1,33.7,986,709,5914,7,138,166,256,90,966,-36.9,30.6,400,106,14.9,66
5779464,BGxh1,49.1906,-119.525002,377,11.8,24.5,-1.2,25.7,318,130,68.5,187.8,208,2995,2868,616,275,99,299,200,26,-20.5,43.2,879,638,11.8,67
4876809,BGxh2,50.7524,-120.6427,480,9.9,22.6,-3.4,26,306,138,65,163.8,353,2591,3366,434,242,109,289,180,50,-27.2,42.2,824,610,14,64
4566275,BGxh3,51.3359,-122.2537,514,8.9,21.3,-4.3,25.6,331,145,57.1,146.4,425,2355,3611,326,227,114,285,171,60,-29.2,41.3,775,554,13.6,63
5102313,BGxw1,50.3762,-120.326202,817,7.7,19.6,-4.9,24.4,332,155,53.2,126.5,471,1987,3942,195,210,125,276,151,67,-31.7,40.1,741,517,13.9,61
4440710,BGxw2,51.5555,-122.373802,752,7.3,19.5,-6.3,25.9,386,185,44.7,105.7,606,2017,4094,199,204,121,274,152,86,-34.5,40.2,728,464,14.9,61
1005641,BWBSdk,58.3879,-130.246506,970,1.6,14.9,-11.2,26.1,552,254,21.1,58.9,1388,1077,5959,24,150,157,256,99,243,-43.3,32.5,469,193,10.8,63
451648,BWBSmk,59.3929,-122.149399,647,0.9,17.6,-16.9,34.5,552,353,19.8,49.9,1873,1385,6264,70,151,152,256,104,164,-44.7,35.9,497,108,11.9,60
2223773,BWBSmw,55.9298,-120.609497,756,3.2,17.5,-11.2,28.7,546,330,24.2,52.9,1320,1524,5424,76,168,142,266,124,159,-44.1,35.3,545,167,12.4,60
68728,BWBSvk,59.5645,-137.811203,256,4.9,14,-4.1,18.1,1838,528,8.1,26.5,549,1163,4787,20,206,120,281,161,544,-30.8,30,379,14,10.9,74
2544938,BWBSwk1,55.2018,-120.732399,1077,3.6,16.4,-8.1,24.5,766,377,17.8,43.4,1035,1360,5265,48,169,146,268,122,273,-38.9,33.9,511,88,12.9,64
1840254,BWBSwk2,56.8215,-122.7733,1067,2.4,16,-10.6,26.5,609,399,20.3,40,1293,1241,5708,38,157,152,261,110,165,-41,33.8,490,50,12.9,64
364447,BWBSwk3,59.588,-125.183701,984,0.9,15.7,-12.9,28.6,678,448,16.1,35,1601,1133,6216,31,145,158,255,97,201,-43.4,33,420,1,11.6,62
5885607,CDFmm,48.9256,-123.5821,83,11.5,20,4.1,15.9,1083,174,19.9,115,70,2537,2588,237,325,67,327,260,24,-9.2,38.3,708,346,14.2,74
2253510,CMAun,55.9118,-129.929306,1718,0.9,11.1,-7.9,19,3140,720,3.5,15.4,1149,608,6242,5,137,160,258,98,1941,-36.1,28.3,343,14,13.3,73
