id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,-3,7.2,-13.2,20.4,1244,461,5.7,15.6,1890,251,7633,1,80,187,231,44,876,-44,24.8,280,7,12,68
3960088,BAFAunp,52.4887,-125.932098,1785,-0.7,8.4,-10.5,18.9,1563,353,6,23.9,1383,373,6808,2,94,186,237,51,1123,-41.2,26.3,365,78,12.6,63
5779464,BGxh1,49.1906,-119.525002,377,9.3,21.4,-3.5,24.9,299,124,64.7,172.4,335,2360,3435,300,239,114,289,174,44,-28,38.4,806,593,11.2,65
4876809,BGxh2,50.7524,-120.6427,480,7.3,19.6,-6.8,26.4,281,119,61.7,164.3,562,1988,4045,174,207,126,277,151,78,-33.4,37.3,751,578,13,61
4566275,BGxh3,51.3359,-122.2537,514,6.4,18.3,-7.8,26.1,313,133,52.4,137.7,645,1767,4325,108,193,135,271,136,87,-34.8,36.1,705,512,11.6,60
5102313,BGxw1,50.3762,-120.326202,817,5.1,16.5,-7.6,24.1,303,133,49.8,123.5,713,1439,4723,50,173,146,262,116,98,-36.5,35.1,669,486,12.8,59
4440710,BGxw2,51.5555,-122.373802,752,4.7,16.6,-10,26.6,361,167,40.8,99.4,863,1463,4869,52,169,147,258,111,113,-38.2,35,670,428,12.8,58
1005641,BWBSdk,58.3879,-130.246506,970,-1,11.6,-16.6,28.3,523,234,17.2,49.7,1837,680,6912,6,118,176,240,64,274,-45.7,29.8,389,147,10.2,60
451648,BWBSmk,59.3929,-122.149399,647,-1.5,14.8,-21.5,36.2,503,304,16.9,48.5,2361,996,7097,19,134,159,244,85,189,-45.8,33.3,455,117,11.2,58
2223773,BWBSmw,55.9298,-120.609497,756,0.8,14.5,-17,31.5,508,295,21.2,49.2,1726,1090,6274,20,146,154,251,97,180,-44.2,32.6,504,169,10.7,58
68728,BWBSvk,59.5645,-137.811203,256,2.7,12.8,-8.9,21.8,1619,494,7.8,26,929,911,5575,11,170,145,268,123,729,-37.4,28.9,374,20,11.2,71
2544938,BWBSwk1,55.2018,-120.732399,1077,1.2,13.4,-13,26.4,717,338,15.6,39.6,1395,930,6115,12,144,159,252,93,316,-41.8,30.5,471,91,11.1,62
1840254,BWBSwk2,56.8215,-122.7733,1067,-0.1,13,-15.9,28.9,554,350,17.9,37.2,1705,839,6569,10,132,164,245,81,192,-42.7,30.7,451,63,11.1,62
364447,BWBSwk3,59.588,-125.183701,984,-1.6,12.7,-17.7,30.5,623,384,13.6,33.2,2054,757,7114,8,121,170,240,71,245,-46.6,30.3,384,14,10.9,60
