Code,Variable,Time,Category
AHM,annual heat:moisture index (MAT+10)/(MAP/1000)),Annual,Annual
bFFP,the Julian date on which FFP begins,Annual,Annual
CMD,Hargreaves climatic moisture deficit,Annual,Annual
CMD_at,Autumn Hargreaves climatic moisture deficit,Autumn,Seasonal
CMD_sm,Summer Hargreaves climatic moisture deficit,Summer,Seasonal
CMD_sp,Spring Hargreaves climatic moisture deficit,Spring,Seasonal
CMD_wt,Winter Hargreaves climatic moisture deficit,Winter,Seasonal
CMD01,January Hargreaves climatic moisture deficit,January,Monthly
CMD02,February Hargreaves climatic moisture deficit,February,Monthly
CMD03,March Hargreaves climatic moisture deficit,March,Monthly
CMD04,April Hargreaves climatic moisture deficit,April,Monthly
CMD05,May Hargreaves climatic moisture deficit,May,Monthly
CMD06,June Hargreaves climatic moisture deficit,June,Monthly
CMD07,July Hargreaves climatic moisture deficit,July,Monthly
CMD08,August Hargreaves climatic moisture deficit,August,Monthly
CMD09,September Hargreaves climatic moisture deficit,September,Monthly
CMD10,October Hargreaves climatic moisture deficit,October,Monthly
CMD11,November Hargreaves climatic moisture deficit,November,Monthly
CMD12,December Hargreaves climatic moisture deficit,December,Monthly
DD_0,degree-days below 0øC (chilling degree-days),Annual,Annual
DD_0_01,January degree-days below 0øC (chilling degree-days),January,Monthly
DD_0_02,February degree-days below 0øC (chilling degree-days),February,Monthly
DD_0_03,March degree-days below 0øC (chilling degree-days),March,Monthly
DD_0_04,April degree-days below 0øC (chilling degree-days),April,Monthly
DD_0_05,May degree-days below 0øC (chilling degree-days),May,Monthly
DD_0_06,June degree-days below 0øC (chilling degree-days),June,Monthly
DD_0_07,July degree-days below 0øC (chilling degree-days),July,Monthly
DD_0_08,August degree-days below 0øC (chilling degree-days),August,Monthly
DD_0_09,September degree-days below 0øC (chilling degree-days),September,Monthly
DD_0_10,October degree-days below 0øC (chilling degree-days),October,Monthly
DD_0_11,November degree-days below 0øC (chilling degree-days),November,Monthly
DD_0_12,December degree-days below 0øC (chilling degree-days),December,Monthly
DD_0_at,Autumn degree-days below 0øC (chilling degree-days),Autumn,Seasonal
DD_0_sm,Summer degree-days below 0øC (chilling degree-days),Summer,Seasonal
DD_0_sp,Spring degree-days below 0øC (chilling degree-days),Spring,Seasonal
DD_0_wt,Winter degree-days below 0øC (chilling degree-days),Winter,Seasonal
DD_18,degree-days below 18øC (heating degree-days),Annual,Annual
DD_18_01,January degree-days below 18øC (heating degree-days),January,Monthly
DD_18_02,February degree-days below 18øC (heating degree-days),February,Monthly
DD_18_03,March degree-days below 18øC (heating degree-days),March,Monthly
DD_18_04,April degree-days below 18øC (heating degree-days),April,Monthly
DD_18_05,May degree-days below 18øC (heating degree-days),May,Monthly
DD_18_06,June degree-days below 18øC (heating degree-days),June,Monthly
DD_18_07,July degree-days below 18øC (heating degree-days),July,Monthly
DD_18_08,August degree-days below 18øC (heating degree-days),August,Monthly
DD_18_09,September degree-days below 18øC (heating degree-days),September,Monthly
DD_18_10,October degree-days below 18øC (heating degree-days),October,Monthly
DD_18_11,November degree-days below 18øC (heating degree-days),November,Monthly
DD_18_12,December degree-days below 18øC (heating degree-days),December,Monthly
DD_18_at,Autumn degree-days below 18øC (heating degree-days),Autumn,Seasonal
DD_18_sm,Summer degree-days below 18øC (heating degree-days),Summer,Seasonal
DD_18_sp,Spring degree-days below 18øC (heating degree-days),Spring,Seasonal
DD_18_wt,Winter degree-days below 18øC (heating degree-days),Winter,Seasonal
DD18,degree-days above 18øC (cooling degree-days),Annual,Annual
DD18_01,January degree-days above 18øC (cooling degree-days),January,Monthly
DD18_02,February degree-days above 18øC (cooling degree-days),February,Monthly
DD18_03,March degree-days above 18øC (cooling degree-days),March,Monthly
DD18_04,April degree-days above 18øC (cooling degree-days),April,Monthly
DD18_05,May degree-days above 18øC (cooling degree-days),May,Monthly
DD18_06,June degree-days above 18øC (cooling degree-days),June,Monthly
DD18_07,July degree-days above 18øC (cooling degree-days),July,Monthly
DD18_08,August degree-days above 18øC (cooling degree-days),August,Monthly
DD18_09,September degree-days above 18øC (cooling degree-days),September,Monthly
DD18_10,October degree-days above 18øC (cooling degree-days),October,Monthly
DD18_11,November degree-days above 18øC (cooling degree-days),November,Monthly
DD18_12,December degree-days above 18øC (cooling degree-days),December,Monthly
DD18_at,Autumn degree-days above 18øC (cooling degree-days),Autumn,Seasonal
DD18_sm,Summer degree-days above 18øC (cooling degree-days),Summer,Seasonal
DD18_sp,Spring degree-days above 18øC (cooling degree-days),Spring,Seasonal
DD18_wt,Winter degree-days above 18øC (cooling degree-days),Winter,Seasonal
DD5,"degree-days above 5øC, growing degree-days",Annual,Annual
DD5_01,"January degree-days above 5øC, growing degree-days",January,Monthly
